Survey Name RA Dec
LATISS_POLE 001 00:00:00.00 -89:53:48.23
LATISS_POLE 002 02:10:54.54 -89:53:48.23
LATISS_POLE 003 04:21:49.09 -89:53:48.23
LATISS_POLE 004 06:32:43.63 -89:53:48.23
LATISS_POLE 005 08:43:38.18 -89:53:48.23
LATISS_POLE 006 10:54:32.72 -89:53:48.23
LATISS_POLE 007 13:05:27.27 -89:53:48.23
LATISS_POLE 008 15:16:21.81 -89:53:48.23
LATISS_POLE 009 17:27:16.36 -89:53:48.23
LATISS_POLE 010 19:38:10.90 -89:53:48.23
LATISS_POLE 011 21:49:05.45 -89:53:48.23
LATISS_MD02 00000001 03:30:40.1880141 -27:20:01.35827279
LATISS_MD02 00000002 03:31:05.56991774 -27:20:01.35827279
LATISS_MD02 00000003 03:31:30.95182139 -27:20:01.35827279
LATISS_MD02 00000004 03:31:56.33372503 -27:20:01.35827279
LATISS_MD02 00000005 03:32:21.71562867 -27:20:01.35827279
LATISS_MD02 00000006 03:32:47.09753231 -27:20:01.35827279
LATISS_MD02 00000007 03:33:12.47943596 -27:20:01.35827279
LATISS_MD02 00000008 03:33:37.8613396 -27:20:01.35827279
LATISS_MD02 00000009 03:34:03.24324324 -27:20:01.35827279
LATISS_MD02 00000010 03:30:25.93354896 -27:25:39.23486365
LATISS_MD02 00000011 03:30:51.33784181 -27:25:39.23486365
LATISS_MD02 00000012 03:31:16.74213467 -27:25:39.23486365
LATISS_MD02 00000013 03:31:42.14642752 -27:25:39.23486365
LATISS_MD02 00000014 03:32:07.55072038 -27:25:39.23486365
LATISS_MD02 00000015 03:32:32.95501323 -27:25:39.23486365
LATISS_MD02 00000016 03:32:58.35930609 -27:25:39.23486365
LATISS_MD02 00000017 03:33:23.76359894 -27:25:39.23486365
LATISS_MD02 00000018 03:33:49.1678918 -27:25:39.23486365
LATISS_MD02 00000019 03:34:14.57218465 -27:25:39.23486365
LATISS_MD02 00000020 03:30:37.08063567 -27:31:17.10932003
LATISS_MD02 00000021 03:31:02.50735727 -27:31:17.10932003
LATISS_MD02 00000022 03:31:27.93407887 -27:31:17.10932003
LATISS_MD02 00000023 03:31:53.36080047 -27:31:17.10932003
LATISS_MD02 00000024 03:32:18.78752207 -27:31:17.10932003
LATISS_MD02 00000025 03:32:44.21424367 -27:31:17.10932003
LATISS_MD02 00000026 03:33:09.64096527 -27:31:17.10932003
LATISS_MD02 00000027 03:33:35.06768687 -27:31:17.10932003
LATISS_MD02 00000028 03:34:00.49440848 -27:31:17.10932003
LATISS_MD02 00000029 03:30:48.24742268 -27:36:54.98164085
LATISS_MD02 00000030 03:31:13.69661267 -27:36:54.98164085
LATISS_MD02 00000031 03:31:39.14580265 -27:36:54.98164085
LATISS_MD02 00000032 03:32:04.59499264 -27:36:54.98164085
LATISS_MD02 00000033 03:32:30.04418262 -27:36:54.98164085
LATISS_MD02 00000034 03:32:55.49337261 -27:36:54.98164085
LATISS_MD02 00000035 03:33:20.94256259 -27:36:54.98164085
LATISS_MD02 00000036 03:33:46.39175258 -27:36:54.98164085
LATISS_MD02 00000037 03:34:11.84094256 -27:36:54.98164085
LATISS_MD02 00000038 03:30:30.23872679 -27:42:32.85182507
LATISS_MD02 00000039 03:30:55.70291777 -27:42:32.85182507
LATISS_MD02 00000040 03:31:21.16710875 -27:42:32.85182507
LATISS_MD02 00000041 03:31:46.63129973 -27:42:32.85182507
LATISS_MD02 00000042 03:32:12.09549072 -27:42:32.85182507
LATISS_MD02 00000043 03:32:37.5596817 -27:42:32.85182507
LATISS_MD02 00000044 03:33:03.02387268 -27:42:32.85182507
LATISS_MD02 00000045 03:33:28.48806366 -27:42:32.85182507
LATISS_MD02 00000046 03:33:53.95225464 -27:42:32.85182507
LATISS_MD02 00000047 03:34:19.41644562 -27:42:32.85182507
LATISS_MD02 00000048 03:30:41.4159292 -27:48:10.72018516
LATISS_MD02 00000049 03:31:06.90265487 -27:48:10.72018516
LATISS_MD02 00000050 03:31:32.38938053 -27:48:10.72018516
LATISS_MD02 00000051 03:31:57.87610619 -27:48:10.72018516
LATISS_MD02 00000052 03:32:23.36283186 -27:48:10.72018516
LATISS_MD02 00000053 03:32:48.84955752 -27:48:10.72018516
LATISS_MD02 00000054 03:33:14.33628319 -27:48:10.72018516
LATISS_MD02 00000055 03:33:39.82300885 -27:48:10.72018516
LATISS_MD02 00000056 03:34:05.30973451 -27:48:10.72018516
LATISS_MD02 00000057 03:30:27.10363153 -27:53:48.58640814
LATISS_MD02 00000058 03:30:52.6129318 -27:53:48.58640814
LATISS_MD02 00000059 03:31:18.12223206 -27:53:48.58640814
LATISS_MD02 00000060 03:31:43.63153233 -27:53:48.58640814
LATISS_MD02 00000061 03:32:09.1408326 -27:53:48.58640814
LATISS_MD02 00000062 03:32:34.65013286 -27:53:48.58640814
LATISS_MD02 00000063 03:33:00.15943313 -27:53:48.58640814
LATISS_MD02 00000064 03:33:25.66873339 -27:53:48.58640814
LATISS_MD02 00000065 03:33:51.17803366 -27:53:48.58640814
LATISS_MD02 00000066 03:34:16.68733392 -27:53:48.58640814
LATISS_MD02 00000067 03:30:38.29787234 -27:59:26.45049301
LATISS_MD02 00000068 03:31:03.82978723 -27:59:26.45049301
LATISS_MD02 00000069 03:31:29.36170213 -27:59:26.45049301
LATISS_MD02 00000070 03:31:54.89361702 -27:59:26.45049301
LATISS_MD02 00000071 03:32:20.42553191 -27:59:26.45049301
